label	edp0	edp1	edp2	edp3	edp4	edp5	edp6	edp7	edp8	edp9	edp10	edp11	edp12	edp13	edp14	edp15	edp16	edp17	edp18	edp19
1	2.676302083	4.619010417	2.863802083	3.451302083	3.209635417	2.91328125	3.790885417	3.55546875	2.901822917	5.050260417	4.18671875	3.53828125	4.095052083	3.777864583	3.74453125	2.815885417	3.16953125	3.48515625	3.27734375	4.173177083
1	1.99765625	1.957552083	1.91484375	2.59609375	1.58046875	1.683072917	2.362760417	2.310677083	1.329947917	2.186197917	2.074739583	1.845572917	1.440364583	2.04453125	2.964322917	2.40234375	1.308072917	2.521614583	1.822135417	1.894010417
1	2.579166667	2.438541667	1.827604167	3.1015625	1.65625	1.853645833	1.719270833	2.379166667	1.779166667	2.613541667	3.019791667	1.920833333	2.536458333	2.4984375	1.505208333	2.365104167	2.191145833	2.1453125	2.066666667	2.259895833
1	2.7515625	3.684895833	3.022916667	3.522916667	2.875520833	3.1265625	3.5171875	3.527604167	2.889583333	4.498958333	4.13125	3.9171875	4.2546875	3.607291667	3.953125	2.686458333	3.455729167	3.511979167	3.4453125	3.670833333
1	2.75703125	3.380989583	2.527864583	3.368489583	2.22265625	2.643489583	3.37421875	3.266927083	2.488802083	3.18671875	3.68203125	2.463802083	3.86015625	3.251822917	4.227864583	2.64765625	2.94296875	2.737760417	2.815885417	2.90859375
1	1.584114583	2.526822917	1.773177083	2.362239583	1.721614583	2.12890625	2.26640625	2.456510417	1.891927083	2.670572917	2.649739583	2.090364583	2.08359375	2.64609375	3.625260417	1.726302083	1.79765625	3.162239583	2.021614583	2.252864583
1	2.9703125	4.5640625	3.313541667	3.700520833	3.208854167	3.232291667	3.8203125	3.6875	3.068229167	5.065625	4.402604167	3.866145833	4.61875	3.8796875	4.28125	3.165625	3.538541667	3.733333333	3.690104167	4.229166667
1	1.65859375	2.06171875	1.512760417	2.00546875	1.447135417	1.708072917	2.251822917	2.365885417	1.749739583	2.088802083	2.345572917	1.650260417	2.025260417	1.78046875	3.08359375	2.11015625	2.004947917	2.14609375	1.564322917	1.790364583
1	2.159375	2.118229167	1.940104167	2.311458333	1.465625	2.574479167	2.0390625	1.938020833	1.414583333	1.902083333	2.341145833	1.55625	1.7328125	1.671354167	1.616666667	1.808333333	1.232291667	1.841145833	1.778645833	1.4125
1	4.072916667	4.090625	4.050520833	4.824479167	3.020833333	4.352604167	3.803645833	3.530208333	2.840625	3.801041667	5.207291667	3.421354167	3.089583333	3.791145833	3.778125	3.5140625	3.003645833	4.566145833	5.1578125	3.569270833
1	1.754947917	2.65546875	2.21015625	2.50234375	1.919010417	1.929947917	2.377864583	2.802864583	1.561197917	2.378385417	2.504427083	2.073177083	2.06171875	2.312239583	2.823697917	2.026302083	2.000260417	2.02265625	1.88046875	2.023697917
1	1.7640625	2.9984375	2.128125	2.423958333	1.958333333	2.1984375	2.698958333	2.508854167	1.705208333	2.898958333	2.560416667	2.3328125	2.448958333	2.7109375	2.6296875	1.8359375	1.886979167	2.197395833	2.5171875	2.4859375
1	3.567708333	4.497916667	3.431770833	4.443229167	3.390625	3.964583333	4.7515625	3.741145833	3.1671875	4.211458333	4.85	3.513541667	5.190625	4.934375	4.999479167	3.139583333	3.5953125	3.929166667	4.209375	3.979166667
1	1.86015625	3.696614583	2.058072917	2.989322917	2.39765625	2.757552083	2.87421875	3.00234375	2.52421875	3.16796875	3.351822917	2.406510417	3.02109375	3.10546875	3.15859375	2.08203125	2.361197917	2.688802083	3.161197917	2.92421875
1	2.76015625	3.627864583	2.462760417	3.680989583	2.62421875	2.815885417	4.03671875	3.05703125	2.499739583	3.659114583	3.965885417	2.79296875	4.148697917	3.77734375	4.246614583	2.451302083	2.943489583	3.042447917	2.85078125	3.170052083
1	2.7953125	4.7078125	3.109375	3.744791667	3.277604167	3.247916667	4.078125	3.771875	2.860416667	5.3171875	4.594791667	3.9125	4.400520833	4.209375	4.292708333	3.0453125	3.718229167	3.783333333	3.661458333	4.259895833
1	2.328125	3.261458333	2.458333333	3.182291667	2.388541667	2.555208333	3.0796875	3.303125	2.175	4.0984375	3.580208333	3.402083333	3.626041667	3.047916667	3.403645833	2.0875	2.784375	3.060416667	2.816666667	3.234895833
1	1.51953125	2.276822917	1.53828125	2.384114583	1.530989583	1.69921875	2.192447917	2.238802083	1.38359375	2.15859375	2.314322917	1.68828125	1.965364583	2.98828125	2.748697917	2.112239583	1.86953125	1.907552083	1.973177083	2.051822917
1	2.44140625	3.23515625	2.48515625	3.331510417	2.31796875	2.93515625	3.647135417	2.778385417	2.497135417	3.412239583	3.67734375	2.572135417	3.827864583	3.60546875	4.23828125	2.16953125	2.487760417	2.745572917	3.13828125	3.008072917
1	1.747395833	2.349479167	1.644270833	2.5859375	1.594791667	1.783333333	2.519270833	2.597916667	2.360416667	2.515625	2.808333333	1.609375	1.925520833	1.832291667	2.704166667	1.818229167	1.422916667	2.6546875	1.926041667	2.238020833
1	3.2203125	4.333333333	2.794270833	3.9859375	3.078125	3.3453125	4.658854167	3.534375	2.626041667	3.821354167	4.336458333	3.154166667	4.518229167	4.488541667	4.661458333	2.805208333	3.2703125	3.4609375	3.365625	3.4671875
1	1.8171875	2.216145833	1.691145833	2.6921875	2.347395833	2.319270833	2.407291667	2.95	2.6390625	2.6640625	2.582291667	1.944791667	2.503125	2.642708333	2.341145833	1.946354167	1.4625	2.189583333	2.729166667	2.283333333
