label	pse_pssm0	pse_pssm1	pse_pssm2	pse_pssm3	pse_pssm4	pse_pssm5	pse_pssm6	pse_pssm7	pse_pssm8	pse_pssm9	pse_pssm10	pse_pssm11	pse_pssm12	pse_pssm13	pse_pssm14	pse_pssm15	pse_pssm16	pse_pssm17	pse_pssm18	pse_pssm19	pse_pssm20	pse_pssm21	pse_pssm22	pse_pssm23	pse_pssm24	pse_pssm25	pse_pssm26	pse_pssm27	pse_pssm28	pse_pssm29	pse_pssm30	pse_pssm31	pse_pssm32	pse_pssm33	pse_pssm34	pse_pssm35	pse_pssm36	pse_pssm37	pse_pssm38	pse_pssm39
1	0.397318622	0.008582651	-0.051914966	-0.012664185	-0.413547246	0.235027588	0.158554259	-0.28385803	-0.13667178	0.146467824	0.328390705	0.027817404	0.335092241	-0.21331773	-0.364208779	0.285049789	0.233280848	-0.718727194	-0.126857366	0.166185344	2.636110127	1.99187607	2.000279853	3.178843552	0.821652689	1.516411491	1.956409392	3.066109462	1.0257885	3.288261065	3.967413475	1.421622055	1.560495165	1.790831142	0.837959459	1.364646548	0.469497189	0.851201412	1.580724028	2.369752865
1	0.318687538	0.059029352	0.206121057	0.051653635	-0.548207523	0.401277072	0.368967247	-0.327792357	-0.071566281	-0.189552842	-0.034914895	0.367027662	0.151650118	-0.361809707	-0.418256135	0.461243458	0.358402227	-0.673231307	-0.093420186	-0.025308135	1.872991665	1.439926927	2.209239117	3.325386482	0.701899805	1.790431764	2.631713576	2.042982406	0.676766802	2.520213398	3.434916542	2.204132125	1.456795089	2.585269167	0.260220872	1.793670305	1.925231933	2.069975505	3.032069051	1.692767983
1	0.299065659	0.252989417	0.06501549	-0.090715833	-0.73464041	0.306142637	0.15382521	-0.250967699	-0.12386908	0.05390845	0.049887645	0.266244434	0.283322989	-0.261079043	-0.212184917	0.343380194	0.441748945	-0.751761054	-0.245442569	0.155129534	1.592242095	1.924275764	1.072298453	2.397525047	0.455339623	0.988740382	2.033251395	2.68276935	0.989687137	2.270328244	2.828708112	1.562357865	1.929119331	2.097535643	3.35075545	1.13668866	1.512591495	1.008392135	1.480364132	1.81287912
1	0.287007655	0.130575847	0.222596701	-0.185836578	-0.381731936	0.362413849	0.051028504	-0.353124003	-0.205766151	0.106878589	0.190825628	0.169422375	0.267111137	-0.312876426	-0.47133781	0.452132718	0.510854338	-0.787633433	-0.173024624	0.12048362	1.503522542	2.104147022	4.103520304	1.886276383	0.698456325	1.979385704	1.605811371	2.008586676	0.725072445	3.748994315	4.301881849	1.75946281	1.568036229	2.234824218	0.188384193	2.352666275	1.177037054	0.657487031	1.112886605	2.174472589
1	0.498613517	0.321102501	-0.077073486	-0.067361667	-0.786212006	0.331728026	0.238731944	-0.204609519	-0.075292669	-0.013938649	0.137539031	0.143155122	0.310386757	-0.253639391	-0.118131577	0.266165012	0.301263444	-0.775516925	-0.304572877	0.127663412	1.413205156	2.193262584	1.026673778	2.489109565	0.558207193	1.497268446	2.031346758	2.02401307	0.894206544	2.487809145	3.356547798	1.275384691	2.357228099	2.476498072	3.465636288	1.1909417	1.64865297	1.18594048	1.18868294	1.899977696
1	0.598151964	-0.010454929	0.276962561	0.253134493	-0.471048241	0.344118269	0.51439028	-0.110624965	-0.238548434	-0.321837439	-0.319932165	0.283608366	-0.060982069	-0.632698153	0.064388121	0.770765427	0.484495009	-0.892725837	-0.504467959	-0.026694299	2.801386476	0.612095195	2.363558433	3.092039964	1.011449213	1.069857089	2.565778419	1.709776509	0.796020189	2.388507559	2.424140159	1.390266342	0.942130053	0.794524741	1.913580104	2.161613367	1.528515453	0.924229186	0.418644268	2.489634962
1	0.278163735	0.327908517	-0.01911579	-0.117725763	-0.804295835	0.325375673	0.189733234	-0.196015543	-0.095264229	0.05702969	0.024306154	0.35081994	0.271818397	-0.326115855	-0.332723599	0.352290331	0.396395698	-0.645977876	-0.240970699	0.204363819	1.073607059	2.401647139	1.512598952	2.125220182	0.614777193	1.021983008	2.484045993	2.323576098	1.227767618	3.40368288	2.333493435	1.790809175	1.936189966	1.704496177	2.471596829	1.41419788	1.461204678	1.394771629	1.735866916	2.665339943
1	0.649733954	0.10094375	0.162565237	0.115366633	-0.424564998	0.307422938	0.371771146	0.071001909	-0.198595516	-0.343055365	-0.30999179	0.296500659	-0.044352203	-0.562932126	0.100551407	0.764975731	0.277026445	-0.819864466	-0.429556002	-0.084947343	2.728126594	1.756671621	1.741636308	2.319629308	0.791465323	0.980251651	1.900135629	3.56238248	0.721768153	2.556066749	2.087844188	1.341475217	0.790157652	1.489436558	3.026254487	2.516429151	0.340638594	1.563349625	1.307767828	2.203765928
1	0.608674442	0.002330758	-0.121245501	-0.159036666	-0.380178112	0.130856617	0.006295439	-0.345906153	-0.279214129	0.111685435	0.200813607	0.035910696	0.444356882	-0.233134936	-0.464681259	0.516641266	0.630246182	-0.809502468	-0.152225981	0.257313881	2.598031338	2.358121581	1.364870708	4.107693107	0.529903177	1.290074676	1.171602977	2.101292321	0.934584514	3.071605333	3.1896833	1.468002197	2.192107375	2.149919476	0.192013171	1.85029671	1.66717961	0.769814937	1.54218467	2.16624521
1	0.27925021	0.223557396	0.064461424	-0.063266389	-0.697932423	0.25682327	0.154973927	-0.175522344	-0.13012582	0.08384088	0.099829678	0.265018721	0.273289949	-0.322996558	-0.201328934	0.288699548	0.421679673	-0.783274843	-0.210147958	0.173170592	1.457986642	1.745115244	1.222344638	2.390589604	0.550830395	1.064711445	1.887380083	2.641687406	0.928828047	2.496404122	2.635726152	1.879040463	2.096289948	1.92487341	3.366872913	0.970459234	1.673784461	1.017128917	1.416490542	1.869267136
