label	d_fpssm0	d_fpssm1	d_fpssm2	d_fpssm3	d_fpssm4	d_fpssm5	d_fpssm6	d_fpssm7	d_fpssm8	d_fpssm9	d_fpssm10	d_fpssm11	d_fpssm12	d_fpssm13	d_fpssm14	d_fpssm15	d_fpssm16	d_fpssm17	d_fpssm18	d_fpssm19
1	0.013636364	0.006818182	0.005909091	0.002272727	0.001818182	0.005909091	0.007727273	0	0.005454545	0.017272727	0.012272727	0.004545455	0.008181818	0.004545455	0.004545455	0.007272727	0.008636364	0.000454545	0.009090909	0.015454545
1	0.01952381	0.015238095	0.006666667	0.008571429	0	0.010952381	0.015238095	0.002857143	0.000952381	0.008571429	0.01	0.013333333	0.011428571	0.005714286	0.02	0.00952381	0.01	0.000952381	0.002857143	0.008571429
1	0.015454545	0.006818182	0.004090909	0.005	0.003636364	0.008636364	0.011818182	0.001818182	0.002272727	0.017272727	0.019090909	0.013181818	0.011818182	0.005454545	0.005454545	0.016818182	0.011363636	0	0.002272727	0.012272727
1	0.013207547	0.016226415	0.004150943	0	0.006792453	0.005283019	0.001132075	0	0.000754717	0.009433962	0.010188679	0.008301887	0.011320755	0.006037736	0.007924528	0.02	0.009811321	0.005660377	0.005660377	0.00754717
1	0.011351351	0.018378378	0.008108108	0.01027027	0	0.011351351	0.02	0.012972973	0.004864865	0.012972973	0.016756757	0.015135135	0.010810811	0.016756757	0.007567568	0.017837838	0.003783784	0.008648649	0.01027027	0.009189189
1	0.007692308	0.016923077	0.005128205	0.014358974	0	0.01025641	0.011282051	0.008205128	0	0.014871795	0.017948718	0.00974359	0.02	0.006666667	0.017948718	0.014871795	0.00974359	0.006666667	0.004102564	0.013846154
1	0.02	0.016666667	0.013333333	0.02	0	0.013888889	0.015	0.003333333	0.014444444	0.012777778	0.016666667	0.011111111	0.011111111	0.001111111	0.011666667	0.015	0.005	0.012222222	0.005555556	0.01
1	0.016190476	0.016190476	0.004761905	0.01	0	0.005238095	0.008095238	0.00952381	0.001428571	0.017619048	0.015714286	0.007142857	0.014285714	0.004285714	0.02	0.007619048	0.007619048	0.001428571	0.004761905	0.016190476
1	0.009767442	0.005116279	0.008837209	0.005581395	0	0.009767442	0.008837209	0.008372093	0.006511628	0.02	0.013953488	0.005581395	0.009767442	0.014418605	0.013023256	0.013023256	0.006976744	0.008837209	0.013953488	0.017674419
1	0.018571429	0.01	0.005	0.004285714	0.002142857	0.005357143	0.003214286	0.002857143	0	0.006785714	0.013214286	0.003214286	0.009642857	0.000357143	0.004285714	0.010357143	0.003214286	0.007857143	0.0025	0.003928571
