label	alphaticr.alphaticr	alphaticr.aromatic	alphaticr.postivecharger	alphaticr.negativecharger	alphaticr.uncharger	aromatic.alphaticr	aromatic.aromatic	aromatic.postivecharger	aromatic.negativecharger	aromatic.uncharger	postivecharger.alphaticr	postivecharger.aromatic	postivecharger.postivecharger	postivecharger.negativecharger	postivecharger.uncharger	negativecharger.alphaticr	negativecharger.aromatic	negativecharger.postivecharger	negativecharger.negativecharger	negativecharger.uncharger	uncharger.alphaticr	uncharger.aromatic	uncharger.postivecharger	uncharger.negativecharger	uncharger.uncharger
1	0.155210643	0.031042129	0.046563193	0.053215078	0.115299335	0.013303769	0.00443459	0.00886918	0.015521064	0.022172949	0.048780488	0.00443459	0.022172949	0.011086475	0.035476718	0.064301552	0.017738359	0.006651885	0.019955654	0.022172949	0.11751663	0.006651885	0.037694013	0.031042129	0.088691796
1	0.126984127	0.022675737	0.049886621	0.047619048	0.145124717	0.011337868	0.002267574	0.004535147	0.013605442	0.031746032	0.036281179	0.009070295	0.009070295	0.011337868	0.034013605	0.058956916	0.009070295	0.009070295	0.004535147	0.024943311	0.156462585	0.020408163	0.027210884	0.029478458	0.10430839
1	0.160997732	0.034013605	0.06122449	0.058956916	0.126984127	0.029478458	0.009070295	0.009070295	0.002267574	0.009070295	0.068027211	0.004535147	0.015873016	0.015873016	0.036281179	0.049886621	0.004535147	0.027210884	0.013605442	0.01814059	0.131519274	0.006802721	0.029478458	0.022675737	0.054421769
1	0.127610209	0.023201856	0.041763341	0.034802784	0.143851508	0.011600928	0	0.002320186	0.009280742	0.030162413	0.048723898	0	0.009280742	0.011600928	0.044083527	0.041763341	0.006960557	0.020881671	0.004640371	0.03712297	0.139211137	0.023201856	0.039443155	0.051044084	0.097447796
1	0.165151515	0.015151515	0.063636364	0.05	0.121212121	0.012121212	0.001515152	0.007575758	0.006060606	0.009090909	0.06969697	0.001515152	0.016666667	0.018181818	0.046969697	0.054545455	0.009090909	0.012121212	0.013636364	0.03030303	0.112121212	0.009090909	0.053030303	0.031818182	0.06969697
1	0.124	0.038	0.056	0.058	0.09	0.02	0.002	0.014	0.01	0.03	0.046	0.014	0.018	0.02	0.034	0.07	0.008	0.02	0.016	0.04	0.104	0.016	0.024	0.05	0.078
1	0.173038229	0.016096579	0.076458753	0.08249497	0.110663984	0.018108652	0	0.004024145	0.002012072	0.00804829	0.070422535	0.002012072	0.018108652	0.018108652	0.028169014	0.06639839	0.00804829	0.020120724	0.00804829	0.034205231	0.128772636	0.006036217	0.020120724	0.026156942	0.054325956
1	0.144654088	0.037735849	0.050314465	0.073375262	0.096436059	0.023060797	0.004192872	0.012578616	0.016771488	0.012578616	0.054507338	0.006289308	0.018867925	0.014675052	0.039832285	0.077568134	0.01048218	0.012578616	0.018867925	0.031446541	0.100628931	0.01048218	0.039832285	0.029350105	0.062893082
1	0.193277311	0.033613445	0.056722689	0.044117647	0.128151261	0.033613445	0.006302521	0.008403361	0.008403361	0.021008403	0.054621849	0.012605042	0.008403361	0.014705882	0.029411765	0.058823529	0.008403361	0.004201681	0.006302521	0.014705882	0.113445378	0.016806723	0.044117647	0.018907563	0.06092437
1	0.143468951	0.023554604	0.059957173	0.083511777	0.104925054	0.038543897	0.002141328	0.00856531	0.004282655	0.012847966	0.074946467	0.012847966	0.014989293	0.025695931	0.021413276	0.068522484	0.012847966	0.032119914	0.019271949	0.019271949	0.087794433	0.014989293	0.034261242	0.021413276	0.057815846
