label	hydrophobicity_PRAM900101.Tr1221	hydrophobicity_PRAM900101.Tr1331	hydrophobicity_PRAM900101.Tr2332	hydrophobicity_ARGP820101.Tr1221	hydrophobicity_ARGP820101.Tr1331	hydrophobicity_ARGP820101.Tr2332	hydrophobicity_ZIMJ680101.Tr1221	hydrophobicity_ZIMJ680101.Tr1331	hydrophobicity_ZIMJ680101.Tr2332	hydrophobicity_PONP930101.Tr1221	hydrophobicity_PONP930101.Tr1331	hydrophobicity_PONP930101.Tr2332	hydrophobicity_CASG920101.Tr1221	hydrophobicity_CASG920101.Tr1331	hydrophobicity_CASG920101.Tr2332	hydrophobicity_ENGD860101.Tr1221	hydrophobicity_ENGD860101.Tr1331	hydrophobicity_ENGD860101.Tr2332	hydrophobicity_FASG890101.Tr1221	hydrophobicity_FASG890101.Tr1331	hydrophobicity_FASG890101.Tr2332	normwaalsvolume.Tr1221	normwaalsvolume.Tr1331	normwaalsvolume.Tr2332	polarity.Tr1221	polarity.Tr1331	polarity.Tr2332	polarizability.Tr1221	polarizability.Tr1331	polarizability.Tr2332	charge.Tr1221	charge.Tr1331	charge.Tr2332	secondarystruct.Tr1221	secondarystruct.Tr1331	secondarystruct.Tr2332	solventaccess.Tr1221	solventaccess.Tr1331	solventaccess.Tr2332
1	0.277161863	0.181818182	0.188470067	0.272727273	0.235033259	0.124168514	0.164079823	0.299334812	0.050997783	0.257206208	0.268292683	0.141906874	0.427937916	0.084257206	0.048780488	0.270509978	0.219512195	0.146341463	0.130820399	0.356984479	0.155210643	0.328159645	0.159645233	0.148558758	0.188470067	0.22172949	0.241685144	0.314855876	0.150776053	0.157427938	0.168514412	0.013303769	0.208425721	0.166297118	0.279379157	0.148558758	0.312638581	0.179600887	0.146341463
1	0.290249433	0.188208617	0.222222222	0.267573696	0.301587302	0.097505669	0.158730159	0.365079365	0.034013605	0.215419501	0.362811791	0.106575964	0.473922902	0.10430839	0.036281179	0.276643991	0.224489796	0.185941043	0.124716553	0.392290249	0.185941043	0.371882086	0.140589569	0.142857143	0.231292517	0.238095238	0.240362812	0.37414966	0.133786848	0.149659864	0.154195011	0.01814059	0.185941043	0.224489796	0.240362812	0.179138322	0.301587302	0.229024943	0.176870748
1	0.20861678	0.238095238	0.253968254	0.258503401	0.231292517	0.20861678	0.179138322	0.344671202	0.099773243	0.197278912	0.319727891	0.176870748	0.37414966	0.140589569	0.077097506	0.199546485	0.301587302	0.19047619	0.097505669	0.340136054	0.174603175	0.306122449	0.124716553	0.219954649	0.22675737	0.26984127	0.185941043	0.297052154	0.115646259	0.229024943	0.181405896	0.038548753	0.160997732	0.276643991	0.199546485	0.113378685	0.319727891	0.210884354	0.126984127
1	0.292343387	0.201856148	0.22737819	0.269141531	0.285382831	0.118329466	0.162412993	0.327146172	0.071925754	0.171693735	0.378190255	0.07424594	0.35962877	0.157772622	0.055684455	0.278422274	0.225058005	0.194895592	0.143851508	0.331786543	0.185614849	0.382830626	0.141531323	0.171693735	0.229698376	0.222737819	0.271461717	0.371229698	0.134570766	0.178654292	0.176334107	0.032482599	0.180974478	0.211136891	0.271461717	0.164733179	0.294663573	0.20649652	0.199535963
1	0.272727273	0.210606061	0.187878788	0.271212121	0.215151515	0.166666667	0.184848485	0.301515152	0.074242424	0.268181818	0.242424242	0.159090909	0.381818182	0.092424242	0.040909091	0.263636364	0.246969697	0.145454545	0.183333333	0.309090909	0.165151515	0.292424242	0.186363636	0.160606061	0.174242424	0.227272727	0.271212121	0.295454545	0.156060606	0.190909091	0.210606061	0.025757576	0.186363636	0.225757576	0.28030303	0.104545455	0.322727273	0.189393939	0.160606061
1	0.268	0.224	0.192	0.238	0.262	0.172	0.16	0.35	0.066	0.202	0.294	0.158	0.378	0.134	0.068	0.27	0.25	0.148	0.126	0.326	0.186	0.324	0.156	0.176	0.196	0.256	0.244	0.326	0.138	0.194	0.174	0.038	0.238	0.23	0.264	0.14	0.336	0.166	0.156
1	0.263581489	0.209255533	0.203219316	0.299798793	0.195171026	0.167002012	0.193158954	0.283702213	0.07444668	0.253521127	0.261569416	0.162977867	0.464788732	0.076458753	0.048289738	0.283702213	0.265593561	0.142857143	0.126760563	0.362173038	0.179074447	0.319919517	0.154929577	0.158953722	0.197183099	0.227364185	0.257545272	0.32193159	0.136820926	0.177062374	0.185110664	0.034205231	0.22334004	0.273641851	0.241448692	0.116700201	0.370221328	0.205231388	0.102615694
1	0.291404612	0.213836478	0.178197065	0.29769392	0.236897275	0.14884696	0.146750524	0.333333333	0.039832285	0.253668763	0.255765199	0.174004193	0.4360587	0.090146751	0.064989518	0.310272537	0.220125786	0.15932914	0.13836478	0.362683438	0.163522013	0.335429769	0.15932914	0.169811321	0.194968553	0.234800839	0.274633124	0.337526205	0.157232704	0.171907757	0.199161426	0.027253669	0.238993711	0.270440252	0.236897275	0.119496855	0.354297694	0.144654088	0.150943396
1	0.275210084	0.140756303	0.243697479	0.319327731	0.168067227	0.172268908	0.174369748	0.258403361	0.056722689	0.254201681	0.233193277	0.197478992	0.447478992	0.094537815	0.048319328	0.308823529	0.180672269	0.174369748	0.113445378	0.37394958	0.168067227	0.31302521	0.25	0.102941176	0.258403361	0.172268908	0.262605042	0.296218487	0.220588235	0.132352941	0.178571429	0.014705882	0.157563025	0.24789916	0.222689076	0.159663866	0.296218487	0.254201681	0.119747899
1	0.259100642	0.235546039	0.203426124	0.301927195	0.218415418	0.17130621	0.192719486	0.30620985	0.083511777	0.233404711	0.299785867	0.160599572	0.389721627	0.109207709	0.079229122	0.256959315	0.280513919	0.158458244	0.137044968	0.383297645	0.115631692	0.310492505	0.160599572	0.218415418	0.194860814	0.265524625	0.241970021	0.316916488	0.145610278	0.233404711	0.194860814	0.053533191	0.214132762	0.244111349	0.226980728	0.128479657	0.374732334	0.169164882	0.119914347
1	0.255364807	0.233905579	0.210300429	0.268240343	0.231759657	0.17167382	0.160944206	0.321888412	0.077253219	0.236051502	0.283261803	0.169527897	0.386266094	0.105150215	0.057939914	0.248927039	0.278969957	0.169527897	0.150214592	0.347639485	0.143776824	0.324034335	0.145922747	0.160944206	0.199570815	0.253218884	0.240343348	0.319742489	0.13304721	0.173819742	0.163090129	0.030042918	0.214592275	0.274678112	0.246781116	0.120171674	0.356223176	0.178111588	0.13304721
1	0.308855292	0.196544276	0.190064795	0.308855292	0.196544276	0.164146868	0.136069114	0.287257019	0.073434125	0.287257019	0.237580994	0.153347732	0.429805616	0.082073434	0.060475162	0.298056156	0.24838013	0.138228942	0.133909287	0.375809935	0.136069114	0.3412527	0.153347732	0.164146868	0.168466523	0.222462203	0.295896328	0.3174946	0.136069114	0.181425486	0.187904968	0.028077754	0.196544276	0.22462203	0.252699784	0.103671706	0.345572354	0.18574514	0.159827214
1	0.278617711	0.181425486	0.226781857	0.291576674	0.157667387	0.183585313	0.18574514	0.261339093	0.079913607	0.265658747	0.235421166	0.181425486	0.462203024	0.075593952	0.05399568	0.306695464	0.239740821	0.168466523	0.129589633	0.35637149	0.181425486	0.326133909	0.183585313	0.136069114	0.222462203	0.194384449	0.278617711	0.323974082	0.168466523	0.151187905	0.211663067	0.01511879	0.174946004	0.241900648	0.259179266	0.112311015	0.354211663	0.22462203	0.105831533
1	0.245614035	0.228070175	0.221491228	0.260964912	0.247807018	0.184210526	0.155701754	0.344298246	0.083333333	0.234649123	0.285087719	0.173245614	0.390350877	0.120614035	0.059210526	0.212719298	0.271929825	0.173245614	0.138157895	0.353070175	0.157894737	0.304824561	0.162280702	0.186403509	0.206140351	0.252192982	0.234649123	0.302631579	0.131578947	0.217105263	0.177631579	0.041666667	0.212719298	0.236842105	0.256578947	0.135964912	0.328947368	0.192982456	0.144736842
1	0.285714286	0.189010989	0.235164835	0.32967033	0.202197802	0.16043956	0.153846154	0.320879121	0.028571429	0.274725275	0.254945055	0.195604396	0.514285714	0.050549451	0.024175824	0.274725275	0.224175824	0.186813187	0.114285714	0.404395604	0.16043956	0.38021978	0.175824176	0.134065934	0.237362637	0.213186813	0.261538462	0.367032967	0.156043956	0.153846154	0.2	0.024175824	0.178021978	0.175824176	0.279120879	0.105494505	0.351648352	0.175824176	0.123076923
1	0.268722467	0.218061674	0.202643172	0.281938326	0.244493392	0.151982379	0.18061674	0.310572687	0.077092511	0.215859031	0.337004405	0.123348018	0.45814978	0.09030837	0.050660793	0.262114537	0.242290749	0.169603524	0.118942731	0.354625551	0.193832599	0.350220264	0.149779736	0.182819383	0.211453744	0.248898678	0.237885463	0.352422907	0.13876652	0.193832599	0.147577093	0.011013216	0.167400881	0.231277533	0.246696035	0.151982379	0.350220264	0.165198238	0.136563877
1	0.295555556	0.173333333	0.224444444	0.302222222	0.22	0.157777778	0.148888889	0.32	0.044444444	0.271111111	0.233333333	0.173333333	0.415555556	0.093333333	0.053333333	0.284444444	0.197777778	0.186666667	0.142222222	0.344444444	0.164444444	0.375555556	0.144444444	0.12	0.22	0.186666667	0.273333333	0.382222222	0.133333333	0.131111111	0.175555556	0.015555556	0.222222222	0.246666667	0.264444444	0.095555556	0.311111111	0.2	0.157777778
1	0.236607143	0.279017857	0.174107143	0.272321429	0.236607143	0.165178571	0.212053571	0.308035714	0.089285714	0.185267857	0.368303571	0.120535714	0.379464286	0.145089286	0.055803571	0.200892857	0.323660714	0.125	0.125	0.412946429	0.111607143	0.258928571	0.151785714	0.236607143	0.160714286	0.328125	0.191964286	0.247767857	0.140625	0.247767857	0.176339286	0.040178571	0.232142857	0.270089286	0.265625	0.136160714	0.332589286	0.171875	0.183035714
1	0.22972973	0.25	0.202702703	0.263513514	0.225225225	0.189189189	0.184684685	0.304054054	0.101351351	0.207207207	0.308558559	0.162162162	0.403153153	0.126126126	0.076576577	0.213963964	0.292792793	0.155405405	0.117117117	0.355855856	0.173423423	0.283783784	0.153153153	0.168918919	0.182432432	0.288288288	0.20045045	0.292792793	0.13963964	0.182432432	0.177927928	0.033783784	0.195945946	0.279279279	0.218468468	0.13963964	0.34009009	0.168918919	0.13963964
1	0.230769231	0.237556561	0.20361991	0.246606335	0.2239819	0.187782805	0.147058824	0.321266968	0.090497738	0.214932127	0.291855204	0.153846154	0.386877828	0.117647059	0.063348416	0.242081448	0.285067873	0.156108597	0.117647059	0.373303167	0.131221719	0.280542986	0.153846154	0.185520362	0.183257919	0.262443439	0.228506787	0.298642534	0.14479638	0.194570136	0.20361991	0.029411765	0.214932127	0.21719457	0.248868778	0.117647059	0.334841629	0.199095023	0.133484163
