label	edp0	edp1	edp2	edp3	edp4	edp5	edp6	edp7	edp8	edp9	edp10	edp11	edp12	edp13	edp14	edp15	edp16	edp17	edp18	edp19
1	4.877149321	4.749208145	4.109785068	4.560011312	4.895757919	5.046266968	4.287669683	4.033371041	3.5260181	4.099830317	4.674151584	3.561538462	3.214479638	4.341742081	4.941742081	3.592364253	3.42861991	5.107183258	4.329355204	4.086255656
1	4.752997738	4.636142534	4.284615385	4.664479638	4.6385181	5.041911765	4.2635181	4.016176471	3.402941176	4.047002262	4.678223982	3.605938914	3.154751131	4.209954751	4.807692308	3.550056561	3.378054299	5.07030543	4.293042986	3.978393665
1	3.856689342	4.45776644	3.319331066	4.420181406	4.351417234	4.572789116	4.646145125	4.123922902	3.326643991	4.813378685	4.491609977	3.578287982	3.308503401	4.413662132	4.992800454	3.301190476	3.336054422	4.673979592	3.65946712	4.798696145
1	4.921145125	4.649206349	4.21899093	4.725113379	4.773696145	5.028628118	4.272052154	4.054024943	3.453004535	4.077777778	4.794387755	3.571655329	3.29739229	4.232879819	4.917460317	3.666609977	3.411848073	5.251360544	4.297562358	4.012018141
1	4.730539773	4.441619318	4.195198864	4.566789773	4.710823864	4.932755682	4.197642045	4.0284375	3.346789773	4.036051136	4.680085227	3.472528409	3.159857955	4.228323864	4.869005682	3.569801136	3.3078125	4.971903409	4.271051136	3.952073864
1	3.681621005	4.165410959	3.181906393	4.138869863	4.252226027	4.316152968	4.353424658	3.957248858	3.180479452	4.531678082	4.197773973	3.359817352	3.082248858	4.089954338	4.825456621	3.138184932	3.183047945	4.509531963	3.440753425	4.56033105
1	4.150286041	4.836784897	3.622196796	4.752745995	4.654004577	4.908180778	5.003489703	4.390217391	3.626372998	5.116304348	4.783466819	3.860869565	3.459324943	4.65680778	5.454977117	3.578489703	3.575915332	4.929405034	3.922883295	5.164416476
1	3.980642361	4.563570602	3.492563657	4.611834491	4.465885417	4.71640625	4.749045139	4.241059028	3.429658565	4.979832176	4.613049769	3.727575231	3.433362269	4.451591435	5.168836806	3.448640046	3.506394676	4.716984954	3.724508102	5.025607639
1	4.13599537	4.808738426	3.562326389	4.757233796	4.586284722	4.889988426	4.898206019	4.361284722	3.592476852	5.112615741	4.725752315	3.778125	3.467303241	4.620601852	5.311516204	3.568113426	3.514699074	4.905034722	3.956828704	5.108449074
1	3.901070602	4.411371528	3.389207176	4.500318287	4.37427662	4.522309028	4.657378472	4.148350694	3.333246528	4.751591435	4.469010417	3.577517361	3.294010417	4.374045139	5.001880787	3.326649306	3.39765625	4.659866898	3.636140046	4.831684028
1	4.008157277	4.580340376	3.601877934	4.716431925	4.503169014	4.724119718	4.820833333	4.313438967	3.476877934	4.985856808	4.63685446	3.756338028	3.428462441	4.467429577	5.126643192	3.43286385	3.51649061	4.746478873	3.698650235	5.086795775
2	2.766691176	3.300220588	2.701838235	3.205808824	3.422426471	2.948014706	3.198602941	3.34875	2.674926471	4.163308824	4.050661765	2.478308824	3.551397059	3.600955882	3.615808824	2.640661765	2.718161765	4.149632353	2.656691176	3.66375
2	3.055807087	3.550492126	2.883956693	3.151279528	3.485531496	3.211122047	3.316043307	3.178248032	2.792814961	3.308562992	3.397145669	2.770964567	3.231791339	3.040059055	3.476279528	2.595177165	2.733562992	4.410334646	2.651279528	3.45757874
