label	aac_pssm0	aac_pssm1	aac_pssm2	aac_pssm3	aac_pssm4	aac_pssm5	aac_pssm6	aac_pssm7	aac_pssm8	aac_pssm9	aac_pssm10	aac_pssm11	aac_pssm12	aac_pssm13	aac_pssm14	aac_pssm15	aac_pssm16	aac_pssm17	aac_pssm18	aac_pssm19
1	0.349557522	-0.603982301	-1.159292035	-1.738938053	-4.457964602	-0.046460177	-1.053097345	-2.287610619	-2.342920354	-1.787610619	-1.092920354	-1.67920354	-1.763274336	-2.579646018	-3.504424779	-0.597345133	-0.725663717	-3.466814159	-1.82079646	-1.238938053
1	0.305429864	-0.708144796	-1.07239819	-1.757918552	-4.513574661	0.074660633	-1.081447964	-2.343891403	-2.513574661	-1.78959276	-1.070135747	-1.642533937	-1.834841629	-2.581447964	-3.678733032	-0.583710407	-0.757918552	-3.567873303	-1.873303167	-1.298642534
1	-0.334841629	-0.79638009	-1.875565611	-1.871040724	-4.364253394	-0.298642534	-0.957013575	-2.457013575	-2.167420814	-1.291855204	-1.233031674	-1.393665158	-1.445701357	-2.7239819	-2.895927602	-1.009049774	-0.907239819	-3.819004525	-2.574660633	-1.004524887
1	0.222222222	-0.68287037	-1.122685185	-1.847222222	-4.578703704	-0.055555556	-1.0625	-2.37037037	-2.49537037	-1.803240741	-1.12037037	-1.625	-1.819444444	-2.585648148	-3.800925926	-0.650462963	-0.752314815	-3.594907407	-1.798611111	-1.287037037
1	-0.232980333	-0.540090772	-1.317700454	-1.411497731	-3.531013616	-0.175491679	-0.679273828	-1.841149773	-1.645990923	-1.375189107	-1.295007564	-0.95612708	-1.157337368	-2.357034796	-1.950075643	-0.623298033	-0.706505295	-3.214826021	-2.163388805	-1.030257186
1	0.411177645	-0.624750499	-1.065868263	-1.510978044	-4.385229541	-0.051896208	-0.97005988	-2.143712575	-2.375249501	-1.734530938	-1.033932136	-1.548902196	-1.706586826	-2.564870259	-3.149700599	-0.4750499	-0.654690619	-3.379241517	-1.744510978	-1.179640719
1	-0.212851406	-0.648594378	-1.738955823	-1.753012048	-4.220883534	-0.222891566	-0.919678715	-2.281124498	-2.112449799	-1.337349398	-1.202811245	-1.289156627	-1.411646586	-2.696787149	-2.483935743	-0.855421687	-0.841365462	-3.751004016	-2.552208835	-0.997991968
1	0.418410042	-0.451882845	-1.152719665	-1.575313808	-4.387029289	-0.033472803	-1.025104603	-2.125523013	-2.372384937	-1.734309623	-1.069037657	-1.60460251	-1.761506276	-2.525104603	-3.305439331	-0.466527197	-0.675732218	-3.341004184	-1.765690377	-1.179916318
1	0.360587002	-0.568134172	-1.144654088	-1.807127883	-4.51572327	0.033542977	-1.062893082	-2.358490566	-2.440251572	-1.758909853	-1.004192872	-1.58490566	-1.727463312	-2.549266247	-3.614255765	-0.576519916	-0.72327044	-3.601677149	-1.863731656	-1.262054507
1	-0.299145299	-0.702991453	-1.822649573	-1.790598291	-4.286324786	-0.258547009	-0.871794872	-2.367521368	-2.134615385	-1.299145299	-1.177350427	-1.286324786	-1.376068376	-2.638888889	-2.673076923	-0.935897436	-0.888888889	-3.670940171	-2.508547009	-0.982905983
