label	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10	Xc2.lambda11	Xc2.lambda12	Xc2.lambda13	Xc2.lambda14	Xc2.lambda15	Xc2.lambda16	Xc2.lambda17	Xc2.lambda18	Xc2.lambda19	Xc2.lambda20	Xc2.lambda21	Xc2.lambda22	Xc2.lambda23	Xc2.lambda24	Xc2.lambda25	Xc2.lambda26	Xc2.lambda27	Xc2.lambda28	Xc2.lambda29	Xc2.lambda30
1	13.85196977	8.059327866	6.044495899	7.303765878	0.503707992	7.303765878	7.555619874	7.303765878	1.511123975	4.029663933	12.84455379	4.281517929	2.014831966	2.266685962	3.274101945	10.32601383	4.78522592	0.755561987	4.281517929	5.540787908	0.024528646	0.024691573	0.026734602	0.025735114	0.023432383	0.024679446	0.021980298	0.025921679	0.024121092	0.026043804	0.02464408	0.025293144	0.025444114	0.023783056	0.026631963	0.025662312	0.026067142	0.023237465	0.024221822	0.024618075	0.024137664	0.026835534	0.025226542	0.025037908	0.024456976	0.024360383	0.025235951	0.023776778	0.026128916	0.025477546
1	14.70515875	4.52466423	8.483745431	6.504204831	0	7.069787859	6.786996345	5.373038773	0.848374543	7.635370888	14.13957572	7.069787859	0.848374543	1.131166058	3.110706658	14.70515875	9.04932846	0.282791514	6.504204831	6.221413316	0.026305523	0.023475951	0.024213269	0.023829843	0.023132301	0.025080439	0.020938983	0.027011763	0.023625035	0.023947752	0.023517284	0.022703564	0.025250986	0.02246705	0.02457544	0.023280705	0.023731027	0.023869022	0.025078532	0.024161779	0.023227299	0.025353126	0.022623182	0.024362901	0.02277427	0.024542109	0.021612579	0.02494929	0.023902163	0.023665317
1	10.16787943	7.117515601	3.558757801	2.796166843	0.254196986	8.642697516	9.913682445	5.338136701	2.033575886	10.6762734	13.72663723	6.863318616	2.033575886	3.304560815	4.067151772	5.083939715	5.846530673	0.508393972	2.796166843	7.625909573	0.025205281	0.025614254	0.024777927	0.027215165	0.023827181	0.024384938	0.0235431	0.024250607	0.024460477	0.024516131	0.024766148	0.025174782	0.025395975	0.023114658	0.025607395	0.023919011	0.025496039	0.024972723	0.026178788	0.025420682	0.023909685	0.024574333	0.024258876	0.024636837	0.024663482	0.024250869	0.024843259	0.025211018	0.025164481	0.026448912
1	9.258899061	3.366872386	10.10061716	4.489163181	0	6.733744772	8.978326362	5.050308579	0	10.10061716	15.15092574	10.38118986	0.561145398	3.647445085	2.525154289	15.43149844	7.856035567	0.561145398	2.244581591	4.76973588	0.024656113	0.022790421	0.023829406	0.025743128	0.02382086	0.02558185	0.020440753	0.024629671	0.023165907	0.024388052	0.025999459	0.02335014	0.025298751	0.020671621	0.02453822	0.023566395	0.023615696	0.025876165	0.024451096	0.024238818	0.02477816	0.0250584	0.023485313	0.022729582	0.023296804	0.022109458	0.023228147	0.024542965	0.025045142	0.024500807
1	16.22724947	14.97899951	5.492299821	10.23564967	0	12.2328496	9.486699691	13.73074955	3.245449894	7.239849764	14.97899951	6.990199772	3.744749878	3.495099886	9.486699691	8.737749715	9.736349683	0.748949976	1.747549943	12.48249959	0.026781212	0.024468349	0.024750015	0.024638359	0.023616215	0.025328308	0.023610116	0.025321194	0.025711012	0.025229381	0.023728672	0.026043638	0.025133863	0.024119763	0.024404853	0.024173682	0.024510284	0.024872202	0.02564468	0.024202803	0.023804892	0.025566504	0.025801175	0.025322431	0.024905723	0.025381426	0.025662299	0.02599179	0.025491741	0.026133424
1	13.35235542	8.159772757	8.654304439	7.665241074	0.247265841	4.945316822	11.37422869	5.439848504	1.236329206	7.417975233	12.11602621	6.923443551	1.236329206	3.708987617	5.192582663	7.912506916	6.67617771	1.236329206	4.698050981	5.687114346	0.026087979	0.025986979	0.024984557	0.026011802	0.025405511	0.025253496	0.023107878	0.025828015	0.023833442	0.024486413	0.025146698	0.025949213	0.026277925	0.023123338	0.026343767	0.024630415	0.023600597	0.024131688	0.025745216	0.026356074	0.024181183	0.026305226	0.023945514	0.024212995	0.023242993	0.024247949	0.026819612	0.025236406	0.027058839	0.025192439
1	19.52070962	9.887112667	2.535157094	7.351955573	0.507031419	6.084377026	9.887112667	6.591408444	1.774609966	5.323829897	12.67578547	5.830861316	2.028125675	2.028125675	8.112502701	4.563282769	7.858986991	0.507031419	1.521094256	11.66172263	0.027262919	0.024440431	0.024812872	0.024669447	0.022744959	0.025860726	0.023445788	0.025428472	0.02554884	0.025523044	0.024722932	0.025894226	0.024979313	0.024419652	0.0256473	0.023889444	0.026543959	0.024038849	0.022608454	0.025145666	0.024323887	0.023783622	0.024350587	0.025279087	0.024828406	0.024134225	0.024890201	0.026605607	0.024553355	0.026108021
1	13.35339805	11.47923692	4.451132684	6.559563955	0.234270141	5.153943107	10.54215636	6.091023672	0.468540282	3.982592401	13.82193833	3.045511836	0.702810424	4.451132684	3.045511836	7.49664452	6.793834096	0.702810424	2.576971554	7.028104237	0.02713161	0.025768643	0.025848355	0.025435408	0.025898846	0.024830985	0.023557581	0.025799967	0.026408263	0.024711517	0.02543882	0.025484031	0.026311288	0.023373208	0.026692483	0.025931634	0.024135739	0.025576415	0.025709615	0.025721865	0.024140027	0.026250199	0.025546767	0.025037136	0.024752451	0.025953595	0.024764626	0.025779246	0.027568497	0.026171043
1	22.96848381	10.01816847	1.221727862	7.330367174	1.221727862	8.063403892	3.420838015	6.352984885	1.95476458	2.687801297	10.01816847	2.199110152	1.95476458	2.687801297	3.665183587	6.841676029	8.552095037	1.95476458	4.398220305	9.040786182	0.026918794	0.025569833	0.025293553	0.024497487	0.024745797	0.025207861	0.024152685	0.024449544	0.027091462	0.025623966	0.025909304	0.024411693	0.02490622	0.02397124	0.025419192	0.025764753	0.0246829	0.024272882	0.02482425	0.025417157	0.025446	0.024950586	0.026247035	0.024511355	0.024612007	0.025261644	0.024506461	0.025360461	0.025302356	0.026325949
1	10.22877104	9.515135854	2.61666236	4.995446324	0	7.374230287	12.13179821	6.660595098	1.665148775	5.946959909	11.65604142	5.471203116	2.378783964	4.757567927	3.806054342	6.184838305	4.043932738	0.475756793	2.140905567	9.277257458	0.02703095	0.024022538	0.025501303	0.026725353	0.025510458	0.026972533	0.02430915	0.025776224	0.025493491	0.02674161	0.023984097	0.025687671	0.023945478	0.023977277	0.026307318	0.023849589	0.024899874	0.02498777	0.025119048	0.02578303	0.024847169	0.025988819	0.026235022	0.026181595	0.024522956	0.026196072	0.025050465	0.026026981	0.025530278	0.024917482
1	10.06148991	10.06148991	3.018446973	7.294580185	0.251537248	8.552266424	8.552266424	8.552266424	1.257686239	6.791505689	13.58301138	1.760760734	3.521521469	2.515372478	5.282282203	7.79765468	6.036893946	0.503074496	1.509223487	10.56456441	0.026759452	0.026675126	0.025225191	0.02597286	0.024515548	0.024424421	0.022762008	0.024240439	0.025802253	0.026861903	0.023778226	0.025612664	0.025551001	0.022693661	0.026265083	0.024809208	0.024023335	0.025348416	0.024881349	0.025015414	0.024437761	0.023369944	0.025365005	0.0245133	0.025545671	0.026196717	0.02505644	0.022513286	0.024574753	0.025672317
1	13.67365441	9.198640239	1.988895187	5.469461764	0	10.19308783	8.204192646	7.458356951	2.734730882	5.469461764	12.92781871	4.226402272	0.994447593	2.237507085	4.226402272	7.706968849	6.215297459	1.243059492	1.988895187	9.198640239	0.026536542	0.024445651	0.026748828	0.025874012	0.02493798	0.025093006	0.023428956	0.025474061	0.025096469	0.024414394	0.025858373	0.024344869	0.026821592	0.024350942	0.026840416	0.023557923	0.026031428	0.024570416	0.023337858	0.024603086	0.02561245	0.024471976	0.025921026	0.024635456	0.024433093	0.022911627	0.025601924	0.024545716	0.025224067	0.025663964
1	17.84394961	10.16113797	1.734828434	4.213154769	0	6.443648471	7.434979005	9.913305339	1.239163167	6.195815837	10.16113797	3.965322136	3.221824235	1.486995801	5.947983204	6.691481104	5.452317937	0.247832633	1.486995801	11.15246851	0.02807956	0.023656571	0.026561104	0.026519759	0.024820421	0.024677937	0.023454448	0.024546509	0.026000071	0.027299412	0.024037154	0.024339853	0.025599269	0.022532207	0.026667927	0.02403528	0.026004708	0.02582788	0.023692985	0.026529393	0.023841705	0.025570598	0.024257898	0.026966485	0.02440223	0.024798523	0.024182819	0.025072727	0.024403903	0.02378803
1	9.195382756	10.16331778	2.661821324	6.049593919	0	7.985463973	8.711415243	7.259512702	1.45190254	7.501496459	11.85720408	2.903805081	2.177853811	2.903805081	5.323642648	7.985463973	4.597691378	0.241983757	2.419837567	9.195382756	0.026170965	0.026684268	0.024639257	0.024050634	0.025159039	0.025315439	0.023845269	0.025853653	0.024772024	0.024544172	0.023160698	0.026723005	0.026318342	0.025036571	0.024891394	0.025339808	0.024995782	0.02516493	0.024442975	0.026945733	0.02474941	0.025447931	0.026617422	0.023553377	0.025724343	0.024977256	0.027731553	0.024008462	0.025016634	0.026135896
1	18.33249712	11.33720217	3.135821877	6.030426686	0.241217067	9.889899765	6.271643753	5.065558416	0.723651202	1.688519472	13.99058991	1.688519472	1.688519472	1.206085337	3.859473079	8.201380293	5.306775484	0.96486827	3.377038944	6.995294956	0.027491675	0.025298074	0.024905092	0.026189517	0.026595057	0.027210394	0.023535415	0.025192708	0.023965167	0.0238838	0.025775178	0.025193421	0.02613154	0.025196845	0.026700714	0.025949902	0.025109564	0.024667979	0.024324334	0.024995524	0.024162165	0.024974771	0.023289932	0.027123574	0.026063217	0.026009697	0.024770486	0.025800212	0.024519476	0.023757501
