label	hydrophobicity_PRAM900101.G1	hydrophobicity_PRAM900101.G2	hydrophobicity_PRAM900101.G3	hydrophobicity_ARGP820101.G1	hydrophobicity_ARGP820101.G2	hydrophobicity_ARGP820101.G3	hydrophobicity_ZIMJ680101.G1	hydrophobicity_ZIMJ680101.G2	hydrophobicity_ZIMJ680101.G3	hydrophobicity_PONP930101.G1	hydrophobicity_PONP930101.G2	hydrophobicity_PONP930101.G3	hydrophobicity_CASG920101.G1	hydrophobicity_CASG920101.G2	hydrophobicity_CASG920101.G3	hydrophobicity_ENGD860101.G1	hydrophobicity_ENGD860101.G2	hydrophobicity_ENGD860101.G3	hydrophobicity_FASG890101.G1	hydrophobicity_FASG890101.G2	hydrophobicity_FASG890101.G3	normwaalsvolume.G1	normwaalsvolume.G2	normwaalsvolume.G3	polarity.G1	polarity.G2	polarity.G3	polarizability.G1	polarizability.G2	polarizability.G3	charge.G1	charge.G2	charge.G3	secondarystruct.G1	secondarystruct.G2	secondarystruct.G3	solventaccess.G1	solventaccess.G2	solventaccess.G3
1	0.360060514	0.381240545	0.258698941	0.422087746	0.349470499	0.228441755	0.615733737	0.160363086	0.223903177	0.438729198	0.291981846	0.269288956	0.612708018	0.317700454	0.069591528	0.447806354	0.298033283	0.254160363	0.379727685	0.232980333	0.387291982	0.41301059	0.375189107	0.211800303	0.269288956	0.350983359	0.379727685	0.355521936	0.432677761	0.211800303	0.133131619	0.747352496	0.119515885	0.496217852	0.214826021	0.288956127	0.417549168	0.360060514	0.222390318
1	0.385229541	0.359281437	0.255489022	0.425149701	0.29740519	0.27744511	0.608782435	0.123752495	0.26746507	0.479041916	0.22754491	0.293413174	0.588822355	0.309381238	0.101796407	0.4750499	0.279441118	0.245508982	0.379241517	0.209580838	0.411177645	0.375249501	0.405189621	0.219560878	0.293413174	0.311377246	0.395209581	0.331337325	0.449101796	0.219560878	0.121756487	0.724550898	0.153692615	0.479041916	0.239520958	0.281437126	0.397205589	0.385229541	0.21756487
1	0.329317269	0.395582329	0.275100402	0.355421687	0.40562249	0.238955823	0.592369478	0.172690763	0.234939759	0.413654618	0.299196787	0.287148594	0.544176707	0.389558233	0.06626506	0.419678715	0.309236948	0.271084337	0.345381526	0.198795181	0.455823293	0.431726908	0.381526104	0.186746988	0.287148594	0.369477912	0.343373494	0.363453815	0.449799197	0.186746988	0.124497992	0.738955823	0.136546185	0.536144578	0.232931727	0.230923695	0.465863454	0.329317269	0.204819277
1	0.368200837	0.355648536	0.276150628	0.420502092	0.324267782	0.255230126	0.648535565	0.10251046	0.248953975	0.420502092	0.280334728	0.29916318	0.577405858	0.338912134	0.083682008	0.422594142	0.307531381	0.269874477	0.39539749	0.182008368	0.422594142	0.389121339	0.40167364	0.209205021	0.29916318	0.328451883	0.372384937	0.359832636	0.430962343	0.209205021	0.129707113	0.717573222	0.152719665	0.523012552	0.230125523	0.246861925	0.443514644	0.368200837	0.188284519
1	0.27672956	0.469601677	0.253668763	0.358490566	0.423480084	0.21802935	0.658280922	0.140461216	0.201257862	0.354297694	0.354297694	0.291404612	0.49475891	0.431865828	0.073375262	0.362683438	0.400419287	0.236897275	0.324947589	0.169811321	0.50524109	0.488469602	0.295597484	0.215932914	0.291404612	0.41509434	0.293501048	0.446540881	0.337526205	0.215932914	0.104821803	0.80293501	0.092243187	0.519916143	0.262054507	0.21802935	0.488469602	0.27672956	0.234800839
1	0.378205128	0.311965812	0.30982906	0.395299145	0.346153846	0.258547009	0.576923077	0.168803419	0.254273504	0.418803419	0.252136752	0.329059829	0.564102564	0.335470085	0.10042735	0.446581197	0.247863248	0.305555556	0.41025641	0.153846154	0.435897436	0.322649573	0.44017094	0.237179487	0.329059829	0.277777778	0.393162393	0.288461538	0.474358974	0.237179487	0.134615385	0.711538462	0.153846154	0.542735043	0.239316239	0.217948718	0.44017094	0.378205128	0.181623932
1	0.334047109	0.344753747	0.321199143	0.423982869	0.319057816	0.256959315	0.599571734	0.147751606	0.25267666	0.411134904	0.254817987	0.334047109	0.569593148	0.344753747	0.085653105	0.402569593	0.280513919	0.316916488	0.374732334	0.194860814	0.430406852	0.385438972	0.434689507	0.17987152	0.334047109	0.321199143	0.344753747	0.338329764	0.481798715	0.17987152	0.100642398	0.764453961	0.13490364	0.488222698	0.239828694	0.271948608	0.449678801	0.334047109	0.21627409
1	0.340517241	0.381465517	0.278017241	0.409482759	0.346982759	0.243534483	0.618534483	0.148706897	0.232758621	0.418103448	0.286637931	0.295258621	0.5625	0.359913793	0.077586207	0.418103448	0.314655172	0.267241379	0.390086207	0.172413793	0.4375	0.387931034	0.415948276	0.19612069	0.295258621	0.340517241	0.364224138	0.351293103	0.452586207	0.19612069	0.11637931	0.765086207	0.118534483	0.538793103	0.228448276	0.232758621	0.452586207	0.340517241	0.206896552
1	0.295258621	0.422413793	0.282327586	0.364224138	0.413793103	0.221982759	0.609913793	0.170258621	0.219827586	0.364224138	0.340517241	0.295258621	0.538793103	0.392241379	0.068965517	0.370689655	0.349137931	0.280172414	0.338362069	0.200431034	0.461206897	0.435344828	0.375	0.189655172	0.295258621	0.398706897	0.306034483	0.38362069	0.426724138	0.189655172	0.122844828	0.775862069	0.101293103	0.525862069	0.226293103	0.247844828	0.495689655	0.295258621	0.209051724
1	0.347921225	0.345733042	0.306345733	0.409190372	0.317286652	0.273522976	0.58643326	0.142231947	0.271334792	0.417943107	0.253829322	0.328227571	0.575492341	0.328227571	0.096280088	0.43107221	0.264770241	0.304157549	0.396061269	0.179431072	0.424507659	0.365426696	0.433260394	0.20131291	0.328227571	0.310722101	0.361050328	0.317286652	0.481400438	0.20131291	0.118161926	0.748358862	0.133479212	0.492341357	0.242888403	0.264770241	0.435448578	0.347921225	0.216630197
1	0.348684211	0.407894737	0.243421053	0.399122807	0.372807018	0.228070175	0.677631579	0.103070175	0.219298246	0.403508772	0.322368421	0.274122807	0.552631579	0.410087719	0.037280702	0.421052632	0.344298246	0.234649123	0.394736842	0.157894737	0.447368421	0.427631579	0.381578947	0.190789474	0.274122807	0.370614035	0.355263158	0.390350877	0.418859649	0.190789474	0.118421053	0.769736842	0.111842105	0.581140351	0.179824561	0.239035088	0.440789474	0.348684211	0.210526316
1	0.369230769	0.345054945	0.285714286	0.435164835	0.307692308	0.257142857	0.602197802	0.151648352	0.246153846	0.476923077	0.202197802	0.320879121	0.553846154	0.371428571	0.074725275	0.432967033	0.292307692	0.274725275	0.373626374	0.18021978	0.446153846	0.362637363	0.441758242	0.195604396	0.320879121	0.305494505	0.373626374	0.336263736	0.468131868	0.195604396	0.094505495	0.810989011	0.094505495	0.527472527	0.228571429	0.243956044	0.426373626	0.369230769	0.204395604
1	0.314855876	0.421286031	0.263858093	0.430155211	0.33037694	0.239467849	0.658536585	0.110864745	0.23059867	0.416851441	0.301552106	0.281596452	0.572062084	0.348115299	0.079822616	0.383592018	0.361419069	0.254988914	0.374722838	0.197339246	0.427937916	0.43902439	0.401330377	0.159645233	0.281596452	0.396895787	0.321507761	0.394678492	0.445676275	0.159645233	0.097560976	0.762749446	0.139689579	0.512195122	0.23059867	0.257206208	0.465631929	0.314855876	0.219512195
1	0.396436526	0.289532294	0.31403118	0.407572383	0.331848552	0.260579065	0.53674833	0.204899777	0.258351893	0.467706013	0.180400891	0.351893096	0.561247216	0.331848552	0.106904232	0.478841871	0.20935412	0.311804009	0.414253898	0.146993318	0.438752784	0.291759465	0.458797327	0.249443207	0.351893096	0.231625835	0.416481069	0.267260579	0.483296214	0.249443207	0.129175947	0.712694878	0.158129176	0.4922049	0.260579065	0.247216036	0.380846325	0.396436526	0.222717149
1	0.357303371	0.314606742	0.328089888	0.4	0.343820225	0.256179775	0.566292135	0.184269663	0.249438202	0.415730337	0.238202247	0.346067416	0.552808989	0.339325843	0.107865169	0.420224719	0.258426966	0.321348315	0.379775281	0.173033708	0.447191011	0.346067416	0.429213483	0.224719101	0.346067416	0.280898876	0.373033708	0.316853933	0.458426966	0.224719101	0.123595506	0.737078652	0.139325843	0.492134831	0.269662921	0.238202247	0.449438202	0.357303371	0.193258427
