label	pse_pssm0	pse_pssm1	pse_pssm2	pse_pssm3	pse_pssm4	pse_pssm5	pse_pssm6	pse_pssm7	pse_pssm8	pse_pssm9	pse_pssm10	pse_pssm11	pse_pssm12	pse_pssm13	pse_pssm14	pse_pssm15	pse_pssm16	pse_pssm17	pse_pssm18	pse_pssm19	pse_pssm20	pse_pssm21	pse_pssm22	pse_pssm23	pse_pssm24	pse_pssm25	pse_pssm26	pse_pssm27	pse_pssm28	pse_pssm29	pse_pssm30	pse_pssm31	pse_pssm32	pse_pssm33	pse_pssm34	pse_pssm35	pse_pssm36	pse_pssm37	pse_pssm38	pse_pssm39
1	0.78065602	0.4498472	0.228898502	0.01848738	-1.136468407	0.668776405	0.273719618	-0.232230324	-0.266180478	-0.07680446	0.179149842	0.02628877	-0.070970916	-0.377424296	-0.63704079	0.451348177	0.394111683	-0.734274068	-0.073834755	0.133944895	1.761397594	1.78899306	1.888986569	2.443623698	0.532487921	1.558719689	1.453329886	1.499922728	0.814819645	1.891904307	2.279560565	0.999030615	0.912718858	1.676640288	1.151158676	1.166935743	0.901095245	2.05734452	1.838317808	1.710188516
1	0.784988287	0.396588375	0.267100245	0.018057767	-1.133597648	0.711619547	0.265630521	-0.216123596	-0.314699066	-0.061073951	0.199625477	0.030946457	-0.085663484	-0.352843447	-0.684354162	0.475989819	0.38604021	-0.739068358	-0.070395425	0.121232432	1.8048426	1.744316425	1.889386972	2.426313295	0.487502071	1.441804485	1.45253377	1.563402829	0.749901189	1.88063223	2.317797536	1.050980558	0.824798712	1.651339773	1.009529614	1.170707862	0.937553866	2.138444011	1.904419709	1.722139426
1	0.597319057	0.449748354	0.002556005	-0.001941266	-1.115978842	0.663951671	0.392091434	-0.320920446	-0.136646337	0.134309835	0.200760727	0.181065713	0.090234705	-0.426454053	-0.448751397	0.322798415	0.357524726	-0.836945354	-0.33279023	0.228067284	1.457995042	1.828483683	0.896824703	2.064113549	0.649767513	1.380127485	2.178646344	1.915608621	0.844735439	2.460983844	2.612362821	1.104671423	1.015755656	1.614624428	1.905021361	0.819440172	0.736264032	1.073675159	1.32619606	1.990906464
1	0.746651192	0.427279685	0.262381375	0.005124619	-1.150983451	0.66748582	0.290641282	-0.229380746	-0.302941981	-0.058212343	0.192570597	0.054825417	-0.074889212	-0.34279858	-0.700535551	0.447021762	0.405097863	-0.744426411	-0.032899232	0.137987893	1.834648586	1.79233343	1.84230148	2.380083616	0.503944825	1.51549575	1.49913075	1.581487258	0.781819061	1.871036599	2.29791206	1.086287851	0.79003959	1.70058631	1.073370023	1.206426785	0.935550313	1.96976642	1.950400645	1.747050585
1	0.567029245	0.42854867	0.076632135	0.00751111	-0.980111932	0.590233599	0.35488234	-0.20999866	-0.090435502	-0.050667274	0.019932102	0.230670183	0.086518093	-0.47346299	-0.229466292	0.399483933	0.332906248	-0.815108975	-0.355456511	0.110360477	1.576773594	2.19191872	1.066809204	2.16606917	0.671696773	1.395600172	1.890750447	2.426692027	1.122274916	2.224703376	2.315659216	1.169591009	1.125696635	1.609206461	2.271547863	0.994176484	0.869374347	1.387789323	1.163004708	1.892245919
1	0.80887526	0.397748538	0.2117055	0.072087784	-1.164551014	0.63696778	0.272994896	-0.222865956	-0.324339142	-0.092752939	0.196969973	0.031869384	-0.072127548	-0.426011311	-0.492960025	0.465775401	0.38926953	-0.747700487	-0.082972806	0.142017181	1.651759193	1.664866779	1.767035896	2.314789139	0.54903882	1.448555934	1.430825654	1.539483609	0.839402884	1.737958644	2.025645951	0.958846196	0.804437184	1.58081067	1.266577786	1.116393205	0.906770522	2.22889721	1.863372548	1.664354993
1	0.618944417	0.487170737	0.034552923	-0.000316917	-1.172306372	0.66194527	0.362143892	-0.270003136	-0.146063839	0.051501755	0.167324624	0.199401203	0.072780752	-0.501346599	-0.243805987	0.364361127	0.362626298	-0.865795754	-0.370481657	0.187367262	1.411282715	1.692865361	0.873899336	1.987289445	0.549633656	1.307985495	2.004328231	1.86563851	0.911445136	2.300633625	2.325730597	1.075051277	1.057604813	1.570608683	2.070667883	0.816789484	0.758948991	1.202549912	1.302979743	1.779349679
1	0.79411529	0.477373376	0.203339273	0.059365283	-1.148738579	0.631358921	0.250134632	-0.197983709	-0.314102933	-0.085932071	0.168388136	0.022110332	-0.096823711	-0.392386658	-0.594266733	0.483791986	0.393631388	-0.709181234	-0.079417748	0.13522476	1.804447451	1.768713148	1.628322736	2.243595153	0.591097695	1.484422867	1.498463714	1.563720332	0.835190329	1.711931952	2.097851576	1.020597964	0.838158147	1.582110023	1.25662805	1.12532474	0.878032391	2.311418438	1.813753746	1.647706955
1	0.797621142	0.453192373	0.212086783	-0.026140932	-1.115125791	0.688117609	0.264982813	-0.267680638	-0.298493279	-0.048912271	0.234368567	0.067931936	-0.033179614	-0.36086252	-0.676381998	0.458364853	0.394056849	-0.778652306	-0.097331148	0.132037572	1.811379528	1.806424323	1.823506141	2.288045248	0.565564063	1.518525744	1.447933999	1.421543004	0.83008137	1.876200709	2.287366767	0.98164948	1.023807146	1.671838509	1.295307643	1.229241205	0.941726328	2.078479135	1.822803723	1.683020551
1	0.584148476	0.475005518	-0.00779473	-0.026215829	-1.109613843	0.643624647	0.379864746	-0.307505992	-0.150270592	0.101228139	0.191907299	0.21049522	0.097927774	-0.430643935	-0.391615738	0.336631357	0.331328135	-0.800687462	-0.338725854	0.210912664	1.361825751	1.772744677	0.910774128	2.026614769	0.614506982	1.343553267	2.110386684	2.073713661	0.957258648	2.432016884	2.570770682	1.192457303	1.043479212	1.749924559	2.098590906	0.843512879	0.767948185	1.343858282	1.330818559	1.925595962
